Table,Dataset,PaperName,Method,Published_Mean,Published_Std,Stored_Mean,Stored_Std,Source_File,Status
Table 2,PROTEINS_full,PROTEINS_full,Weisfeiler-Lehman subtree kernel,73.06,0.71,73.06,0.71,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,PROTEINS_full,PROTEINS_full,Graphlet kernel,time limit,,,,,time limit
Table 2,PROTEINS_full,PROTEINS_full,Shortest-path kernel,time limit,,,,,time limit
Table 2,PTC_FM,PTC_FM,PathBoost,61.80,0.95,,,,NOT TRACED
Table 2,PTC_FM,PTC_FM,GINE (GNN),59.55,1.87,,,,NOT TRACED
Table 2,PTC_FM,PTC_FM,Weisfeiler-Lehman subtree kernel,62.84,1.74,62.84,1.74,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,PTC_FM,PTC_FM,Graphlet kernel,56.64,1.72,56.64,1.72,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,PTC_FM,PTC_FM,Shortest-path kernel,56.64,1.72,56.64,1.72,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,SYNTHETIC,SYNTHETIC,PathBoost,62.27,1.67,,,,NOT TRACED
Table 2,SYNTHETIC,SYNTHETIC,GINE (GNN),48.53,1.86,48.53,1.96,paper_results/raw/GNN_Performance_20260124_210940.csv,mean only
Table 2,SYNTHETIC,SYNTHETIC,Weisfeiler-Lehman subtree kernel,45.53,2.62,45.53,2.62,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,SYNTHETIC,SYNTHETIC,Graphlet kernel,45.73,2.53,45.73,2.53,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,SYNTHETIC,SYNTHETIC,Shortest-path kernel,45.73,2.53,45.73,2.53,paper_results/raw/merged_results_enriched_and_modified.csv,traced
Table 2,Tox21_ARE_evaluation,Tox21_ARE_eval,PathBoost,83.37,0.18,,,,NOT TRACED
Table 2,Tox21_ARE_evaluation,Tox21_ARE_eval,GINE (GNN),81.95,0.76,,,,NOT TRACED
Table 2,Tox21_ARE_evaluation,Tox21_ARE_eval,Weisfeiler-Lehman subtree kernel,81.27,1.33,81.27,1.33,paper_results/raw/merged_results_enriched_and_modified.csv,traced
