Dataset,Graphs,AvgNodes,AvgEdges,NodeFeatures,EdgeFeatures,TotalFeatures,ClassPercentages,CatAttrClasses,PathBoostAccuracy_times 100,PathBoostAccuracy,PathBoostStd10,PathBoostStd100,GNNAccuracy,GNNStd10,GNNStd100,KernelAccuracy,source_file,source_file_dup,PathBoostAccuracy_times_100,Weisfeiler-Lehman subtree kernel_accuracy,Weisfeiler-Lehman subtree kernel_std_10,Weisfeiler-Lehman subtree kernel_std_100,Weisfeiler-Lehman subtree kernel linear_accuracy,Weisfeiler-Lehman subtree kernel linear_std_10,Weisfeiler-Lehman subtree kernel linear_std_100,Graphlet kernel_accuracy,Graphlet kernel_std_10,Graphlet kernel_std_100,Graphlet kernel linear_accuracy,Graphlet kernel linear_std_10,Graphlet kernel linear_std_100,Shortest-path kernel_accuracy,Shortest-path kernel_std_10,Shortest-path kernel_std_100,Shortest-path kernel linear_accuracy,Shortest-path kernel linear_std_10,Shortest-path kernel linear_std_100,Weisfeiler-Lehman optimal assignment kernel_accuracy,Weisfeiler-Lehman optimal assignment kernel_std_10,Weisfeiler-Lehman optimal assignment kernel_std_100,GNN_accuracy,GNN_accuracy_std10,GNN_accuracy_std100,GNN_balanced_accuracy,GNN_balanced_accuracy_std10,GNN_balanced_accuracy_std100,GNN_f1,GNN_f1_macro,GNN_f1_macro_std10,GNN_f1_macro_std100,GNN_f1_std10,GNN_f1_std100,GNN_recall,GNN_recall_std10,GNN_recall_std100,GNN_roc_auc,GNN_roc_auc_std10,GNN_roc_auc_std100,PB_accuracy,PB_accuracy_std10,PB_accuracy_std100,PB_balanced_accuracy,PB_balanced_accuracy_std10,PB_balanced_accuracy_std100,PB_f1,PB_f1_macro,PB_f1_macro_std10,PB_f1_macro_std100,PB_f1_std10,PB_f1_std100,PB_recall,PB_recall_std10,PB_recall_std100,ClassPercentages,fist_class_percentage,n_graphs_firs_class
PTC_MM,336,13.97,14.32,1,1,2,"-1: 61.61%, 1: 38.39%",0,-100,0.616238859,-1,-1,61.07932264,1.3175031,10.13041424,-1,combined_dataset_summary_a25f6335.csv,kernel_baseline_results.csv,61.62388592,64.69073084,2.202295649,7.163137202,64.39037433,1.669634274,8.550432768,62.74064171,0.809976075,7.368232089,64.18003565,1.093521507,8.746767232,62.79144385,1.097363324,7.924503805,64.43137255,0.818245894,7.619947453,-1,-1,-1,0.614101657,0.024527219,0.114212501,,,,,,,,,,,,,,,,0.616238859,0.017557042,0.099583307,0.567152373,0.019338154,0.09211484,0.381096575,0.544850425,0.018083478,0.107476998,0.031959506,0.167600412,0.341040618,0.038804212,0.184737342,"-1: 61.61%, 1: 38.39%",,336
PTC_MR,344,14.29,14.69,1,1,2,"-1: 55.81%, 1: 44.19%",0,-100,0.540731092,-1,-1,52.36722689,2.206646686,7.90141265,-1,combined_dataset_summary_a25f6335.csv,kernel_baseline_results.csv,54.07310924,60.25798319,1.311463205,7.641333668,59.98235294,2.709993354,8.80273095,55.70084034,1.761269964,8.302484605,56.03361345,1.645965166,8.233150124,55.86470588,1.635085316,8.666341331,56.15798319,1.57954047,7.686986721,-1,-1,-1,0.517559172,0.027620143,0.101355838,,,,,,,,,,,,,,,,0.540731092,0.01815351,0.084191046,0.525292844,0.015436199,0.07974416,0.382991235,0.495389483,0.020729345,0.094243504,0.044195643,0.165221311,0.364620565,0.058511074,0.205102661,"-1: 55.81%, 1: 44.19%",,344
Peking_1,85,39.31,77.35,1,0,1,"-1: 57.65%, 1: 42.35%",190,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,57.33333333,4.555809614,16.15425258,57.16666667,2.412192538,16.74255869,51.70833333,3.498263458,17.08712131,51.875,2.920136825,14.703047,53.22222222,2.259923248,18.00192891,51.04166667,4.806940231,15.91641822,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1: 57.65%, 1: 42.35%",,85
SF-295,40271,26.06,28.09,1,1,2,"0: 94.97%, 1: 5.03%",65,95.2653289,0.952653289,0.000350662,0.003061223,-1,-1,-1,-1,combined_dataset_summary_a25f6335.csv,kernel_baseline_results.csv,95.2653289,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.95815849,0.010192141,0.314406861,-1,-1,-1,94.9648591,0.005332798,0.319146913,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.97%, 1: 5.03%",94.97,2026
SF-295H,,,,,,,,,0,,,,,,,,,kernel_baseline_results.csv,,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.95989829,0.007854749,0.290420474,-1,-1,-1,94.96213598,0.006549828,0.327303406,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SW-620,40532,26.06,28.09,1,1,2,"0: 94.05%, 1: 5.95%",65,94.39159491,0.943915949,0.000181896,0.003311719,-1,-1,-1,-1,combined_dataset_summary_1adfe67a.csv,kernel_baseline_results.csv,94.39159491,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.03853468,0.008969709,0.331107962,-1,-1,-1,94.04026703,0.004963688,0.397951379,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.05%, 1: 5.95%",94.05,2412
SW-620H,40532,46.63,48.66,1,1,2,"0: 94.05%, 1: 5.95%",66,-100,-1,-1,-1,-1,-1,-1,-1,,kernel_baseline_results.csv,-100,-1,-1,-1,-1,-1,-1,-1,-1,-1,94.02793,0.012298625,0.340195842,-1,-1,-1,94.02669775,0.008579204,0.398798554,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 94.05%, 1: 5.95%",,40532
SYNTHETIC,300,100,196,2,0,2,"0: 50.00%, 1: 50.00%",8,62.2666667,0.622666667,0.016719915,0.086907358,48.53333333,1.857118437,8.277412371,-1,combined_dataset_summary_c3a7ac84.csv,kernel_baseline_results.csv,62.2666667,45.53333333,2.61703819,7.30631386,45.33333333,1.95505044,6.480740698,45.73333333,2.533333333,6.325960621,45.73333333,2.533333333,6.325960621,45.73333333,2.533333333,6.325960621,45.73333333,2.533333333,6.325960621,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0: 50.00%, 1: 50.00%",50,150
TWITTER-Real-Graph-Partial,144033,4.03,4.98,1,1,2,"-1: 52.80%, 1: 47.20%",0,-100,-1,-1,-1,-1,-1,-1,-1,combined_dataset_summary_c3a7ac84.csv,kernel_baseline_results.csv,-100,-1,-1,-1,-1,-1,-1,-1,-1,-1,57.20730643,0.062316881,0.425525419,-1,-1,-1,57.23688243,0.051613482,0.360559012,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1: 52.80%, 1: 47.20%",,144033
Tox21_AR-LBD_evaluation,580,17.09,17.42,1,1,2,"0: 98.62%, 1: 1.38%",23,98.6034483,0.986034483,0.000517241,0.014770339,98.62068966,4.49E-15,1.503068601,-1,combined_dataset_summary_953aeed0.csv,kernel_baseline_results.csv,98.6034483,98.05172414,0.289018183,1.611031383,98.05172414,0.336538298,1.665467266,98.27586207,0.204002751,1.653735008,98.20689655,0.246256153,1.790448964,98.0862069,0.249255729,1.871225889,98.13793103,0.15030686,1.86780725,-1,-1,-1,0.986206897,1.28E-16,0.015106408,0.725,0.042491829,0.25,0.45,0.721498755,0.04248074,0.253192286,0.084983659,0.5,0.45,0.084983659,0.5,,,,0.983103448,0.002544361,0.015687559,0.717569351,0.047871892,0.248179117,0,0.665708436,0.059110596,0.241156899,0,0,0,0,0,"0: 98.62%, 1: 1.38%",98.62,8
